Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_09_19_42_27,SHUSS_50_64,UCT_50,SHUSS_50_64,1200,1200,1220,1180
,2021_04_09_19_42_27,UCT_50,SHUSS_50_64,SHUSS_50_64,1180,1220,1162,1237
,2021_04_09_19_43_05,SHUSS_50_64,UCT_50,UCT_50,1200,1200,1180,1220
,2021_04_09_19_43_05,UCT_50,SHUSS_50_64,UCT_50,1220,1180,1237,1162
,2021_04_09_19_43_17,SHUSS_50_64,UCT_50,SHUSS_50_64,1200,1200,1220,1180
,2021_04_09_19_43_17,UCT_50,SHUSS_50_64,UCT_50,1180,1220,1202,1197
,2021_04_09_19_43_17,SHUSS_50_64,UCT_50,SHUSS_50_64,1197,1202,1217,1181
,2021_04_09_19_43_17,UCT_50,SHUSS_50_64,UCT_50,1181,1217,1203,1194
,2021_04_09_19_44_01,Flat MC_50,Random_0,Error,1200,1200,1200,1200
,2021_04_09_19_44_01,Random_0,Flat MC_50,Error,1200,1200,1200,1200
,2021_04_09_19_44_01,Flat MC_50,Random_0,Error,1200,1200,1200,1200
,2021_04_09_19_44_01,Random_0,Flat MC_50,Error,1200,1200,1200,1200
,2021_04_09_19_44_42,SHUSS_50_64,UCT_50,SHUSS_50_64,1200,1200,1220,1180
,2021_04_09_19_44_42,UCT_50,SHUSS_50_64,SHUSS_50_64,1180,1220,1162,1237
,2021_04_09_19_44_42,SHUSS_50_64,UCT_50,SHUSS_50_64,1237,1162,1252,1146
,2021_04_09_19_44_42,UCT_50,SHUSS_50_64,SHUSS_50_64,1146,1252,1131,1266
,2021_04_09_19_45_39,Flat MC_50,Random,Flat MC_50,1200,1200,1220,1180
,2021_04_09_19_45_39,Random,Flat MC_50,Flat MC_50,1180,1220,1162,1237
,2021_04_09_19_45_39,Flat MC_50,Random,Flat MC_50,1237,1162,1252,1146
,2021_04_09_19_45_39,Random,Flat MC_50,Flat MC_50,1146,1252,1131,1266
