white_bot,black_bot,score,time
GRAVE_1000,FLAT_1000,1.0,0.421875
FLAT_1000,GRAVE_1000,1.0,0.21875
UCB_1000,FLAT_1000,1.0,0.75
FLAT_1000,UCB_1000,1.0,1.140625
UCT_1000,FLAT_1000,0.0,0.875
FLAT_1000,UCT_1000,0.0,0.734375
UCT_1000,RAVE_1000,0.0,1.734375
RAVE_1000,UCT_1000,0.0,1.40625
UCT_1000,GRAVE_1000,0.0,1.140625
GRAVE_1000,UCT_1000,1.0,0.5
GRAVE_1000,UCB_1000,1.0,0.578125
UCB_1000,GRAVE_1000,0.0,1.4375
GRAVE_1000,RAVE_1000,1.0,0.609375
RAVE_1000,GRAVE_1000,1.0,2.71875
RAVE_1000,FLAT_1000,1.0,0.203125
FLAT_1000,RAVE_1000,0.0,0.578125
UCT_1000,UCB_1000,0.0,1.25
UCB_1000,UCT_1000,0.0,1.3125
RAVE_1000,UCB_1000,1.0,0.765625
UCB_1000,RAVE_1000,0.0,1.765625
RAVE_1000,FLAT_1000,1.0,0.859375
FLAT_1000,RAVE_1000,1.0,0.84375
GRAVE_1000,FLAT_1000,0.0,0.609375
FLAT_1000,GRAVE_1000,1.0,0.859375
GRAVE_1000,RAVE_1000,1.0,1.671875
RAVE_1000,GRAVE_1000,0.0,1.375
UCT_1000,FLAT_1000,1.0,0.734375
FLAT_1000,UCT_1000,1.0,1.28125
UCT_1000,RAVE_1000,0.0,2.140625
RAVE_1000,UCT_1000,1.0,0.34375
UCB_1000,FLAT_1000,0.0,1.140625
FLAT_1000,UCB_1000,0.0,0.1875
UCT_1000,GRAVE_1000,1.0,0.90625
GRAVE_1000,UCT_1000,1.0,1.171875
RAVE_1000,UCB_1000,0.0,1.1875
UCB_1000,RAVE_1000,0.0,1.546875
GRAVE_1000,UCB_1000,0.0,0.25
UCB_1000,GRAVE_1000,0.0,1.890625
UCT_1000,UCB_1000,0.0,1.90625
UCB_1000,UCT_1000,1.0,0.828125
